,ward,diagnosis,Gross_Amount,# of Patient
417,Dandora Area I Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,12596.439999999999,2
418,Dandora Area I Ward,Disorder of breast - unspecified,2000.0,1
419,Dandora Area I Ward,Disorder of muscle - unspecified,2210.0,1
420,Dandora Area I Ward,Essential (primary) hypertension,82116.19,13
421,Dandora Area I Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,18751.22,2
422,Dandora Area I Ward,Female pelvic inflammatory disease - unspecified,5733.44,1
423,Dandora Area I Ward,Fever - unspecified,12958.720000000001,2
424,Dandora Area I Ward,Fever of other and unknown origin,2680.0,1
425,Dandora Area I Ward,Fibromyalgia - Other soft tissue disorders,23242.4,2
426,Dandora Area I Ward,Functional dyspepsia,24898.5,5
427,Dandora Area I Ward,Gastritis - unspecified,43263.56,9
428,Dandora Area I Ward,Gastritis and duodenitis,39240.6,5
429,Dandora Area I Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,19805.6,3
430,Dandora Area I Ward,Gout,3362.08,1
431,Dandora Area I Ward,Gout - unspecified,3663.36,1
432,Dandora Area I Ward,Headache,19725.64,5
433,Dandora Area I Ward,Hyperplasia of prostate,6241.6,1
434,Dandora Area I Ward,Hypertensive heart disease,53597.35,7
435,Dandora Area I Ward,Inflammatory disorders of breast,11763.08,1
436,Dandora Area I Ward,Iron deficiency - Deficiency of other nutrient elements,6975.9,1
437,Dandora Area I Ward,Keratoderma in diseases classified elsewhere,5447.4,1
438,Dandora Area I Ward,Leukoplakia and other disturbances of oral epithelium - including tongue,8026.9,1
439,Dandora Area I Ward,Lumbago with sciatica - Dorsalgia,30586.48,11
440,Dandora Area I Ward,Male infertility,7465.88,1
441,Dandora Area I Ward,Malignant neoplasm: Connective and soft tissue - unspecified,3508.8,1
442,Dandora Area I Ward,Mononeuropathy - unspecified,2710.4,1
443,Dandora Area I Ward,Mumps,403.2,1
444,Dandora Area I Ward,Nausea and vomiting,3445.32,1
445,Dandora Area I Ward,Need for immunization against combinations of infectious diseases,7212.7,3
446,Dandora Area I Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,4382.24,2
447,Dandora Area I Ward,Neuralgia and neuritis - unspecified,4767.67,1
448,Dandora Area I Ward,Open wound of hip and thigh,5075.76,1
449,Dandora Area I Ward,Osteopetrosis - Other osteochondrodysplasias,5151.34,1
450,Dandora Area I Ward,Other abdominal hernia,8733.0,1
451,Dandora Area I Ward,Other abnormal uterine and vaginal bleeding,9681.6,2
452,Dandora Area I Ward,Other acute gastritis - Gastritis and duodenitis,3284.68,1
453,Dandora Area I Ward,Other disorders of prostate,9470.02,1
454,Dandora Area I Ward,Other medical care,3815.72,1
455,Dandora Area I Ward,Other specified diabetes mellitus,8461.52,2
456,Dandora Area I Ward,Other specified fever - Fever of other and unknown origin,3105.6,1
457,Dandora Area I Ward,Pregnancy confirmed - Pregnancy examination and test,4858.24,1
458,Dandora Area I Ward,Sciatica - Dorsalgia,5408.0,2
459,Dandora Area I Ward,Sprain and strain of other and unspecified parts of knee - Dislocation,12223.68,1
460,Dandora Area I Ward,Supervision of high-risk pregnancy,30521.73,4
461,Dandora Area I Ward,Supervision of normal pregnancy,7814.43,2
462,Dandora Area I Ward,Tinea corporis - Dermatophytosis,9792.16,2
463,Dandora Area I Ward,Tinea pedis - Dermatophytosis,5728.88,1
464,Dandora Area I Ward,Type 1 diabetes mellitus: With unspecified complications - Type 1 diabetes mellitus,4721.52,1
465,Dandora Area I Ward,Unspecified diabetes mellitus,15446.470000000001,4
466,Dandora Area I Ward,Urethral abscess - Urethritis and urethral syndrome,7337.6,1
467,Dandora Area I Ward,Urinary tract infection - site not specified,7942.9400000000005,2
468,Dandora Area Ii Ward,Abdominal and pelvic pain,8081.6,2
469,Dandora Area Ii Ward,Abscess of vulva - Other inflammation of vagina and vulva,1400.0,1
470,Dandora Area Ii Ward,Acute laryngitis - Acute laryngitis and tracheitis,26223.440000000002,6
471,Dandora Area Ii Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,11245.44,2
472,Dandora Area Ii Ward,Acute nasopharyngitis [common cold],108037.41,30
473,Dandora Area Ii Ward,Acute pain - Pain,10973.36,1
474,Dandora Area Ii Ward,Acute pharyngitis,124925.17,24
475,Dandora Area Ii Ward,Acute pharyngitis - unspecified,1175.0,1
476,Dandora Area Ii Ward,Acute tonsillitis,356293.44,32
477,Dandora Area Ii Ward,Acute tonsillitis - unspecified,1000.0,1
478,Dandora Area Ii Ward,Acute upper respiratory infection - unspecified,46483.66,6
479,Dandora Area Ii Ward,Acute upper respiratory infections of multiple and unspecified sites,17090.64,3
480,Dandora Area Ii Ward,Acute vaginitis - Other inflammation of vagina and vulva,6220.56,1
481,Dandora Area Ii Ward,Allergic contact dermatitis,13195.32,4
482,Dandora Area Ii Ward,Allergic rhinitis - unspecified,55917.05,13
483,Dandora Area Ii Ward,Amoebiasis,7333.280000000001,2
484,Dandora Area Ii Ward,Anaemia - unspecified,6606.24,1
485,Dandora Area Ii Ward,Antenatal screening,3399.6,1
486,Dandora Area Ii Ward,Asthma,4511.04,2
487,Dandora Area Ii Ward,Asthma - unspecified,8449.04,2
488,Dandora Area Ii Ward,Atopic dermatitis,1000.0,1
489,Dandora Area Ii Ward,Bacterial pneumonia - unspecified,487.71,1
490,Dandora Area Ii Ward,Benign lipomatous neoplasm,7756.0,1
491,Dandora Area Ii Ward,Calculus of lower urinary tract,11372.8,1
492,Dandora Area Ii Ward,Cellulitis,4851.56,1
493,Dandora Area Ii Ward,Cellulitis of other parts of limb - Cellulitis,4386.81,1
494,Dandora Area Ii Ward,Chronic gastritis - unspecified,10308.72,2
495,Dandora Area Ii Ward,Chronic nasopharyngitis - Chronic rhinitis,3194.8,1
496,Dandora Area Ii Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,5030.72,1
497,Dandora Area Ii Ward,Chronic rhinitis,5727.88,2
498,Dandora Area Ii Ward,Chronic superficial gastritis - Gastritis and duodenitis,1344.0,1
499,Dandora Area Ii Ward,Congenital hiatus hernia - Other congenital malformations of upper alimentary tract,6709.12,1
500,Dandora Area Ii Ward,Congenital posterior urethral valves - Other congenital malformations of urinary system,4479.84,1
501,Dandora Area Ii Ward,Conjunctivitis,312.48,1
502,Dandora Area Ii Ward,Cough,11529.74,2
503,Dandora Area Ii Ward,Crushing injury of head,12172.720000000001,2
504,Dandora Area Ii Ward,Cutaneous abscess - furuncle and carbuncle,13811.519999999999,2
505,Dandora Area Ii Ward,Cystitis,3844.88,1
506,Dandora Area Ii Ward,Dental caries,86409.2,19
507,Dandora Area Ii Ward,Dental caries - unspecified,13102.4,4
508,Dandora Area Ii Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,12636.96,3
509,Dandora Area Ii Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,5260.0,1
510,Dandora Area Ii Ward,Disorder of breast - unspecified,3550.24,1
511,Dandora Area Ii Ward,Disorder of external ear - unspecified,82152.0,1
512,Dandora Area Ii Ward,Dizziness and giddiness,6284.17,1
513,Dandora Area Ii Ward,Dyspnoea - Abnormalities of breathing,5928.64,1
514,Dandora Area Ii Ward,Essential (primary) hypertension,54161.92,12
515,Dandora Area Ii Ward,Fever of other and unknown origin,7266.08,1
516,Dandora Area Ii Ward,Fibromyalgia - Other soft tissue disorders,1000.0,1
517,Dandora Area Ii Ward,Functional dyspepsia,43872.03,9
518,Dandora Area Ii Ward,Gastritis - unspecified,56572.130000000005,16
519,Dandora Area Ii Ward,Gastritis and duodenitis,26006.97,6
520,Dandora Area Ii Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,8873.2,2
521,Dandora Area Ii Ward,Gonarthrosis [arthrosis of knee],3620.8,1
522,Dandora Area Ii Ward,Gout,7336.04,2
523,Dandora Area Ii Ward,Headache,3394.44,1
524,Dandora Area Ii Ward,Helminthiasis - unspecified,3158.4,1
525,Dandora Area Ii Ward,Hereditary and idiopathic neuropathy,5006.4,1
526,Dandora Area Ii Ward,Hypertensive heart disease,42229.84,10
527,Dandora Area Ii Ward,Inflammatory polyneuropathy,3065.4,1
528,Dandora Area Ii Ward,Injury of liver or gallbladder - Injury of intra-abdominal organs,13274.08,1
529,Dandora Area Ii Ward,Localized oedema - Oedema,14008.68,1
530,Dandora Area Ii Ward,Lumbago with sciatica - Dorsalgia,23318.02,7
531,Dandora Area Ii Ward,Malignant neoplasm: Tonsil - unspecified,7352.43,1
532,Dandora Area Ii Ward,Nausea and vomiting,26321.0,1
533,Dandora Area Ii Ward,Need for immunization against combinations of infectious diseases,11090.92,3
534,Dandora Area Ii Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,11323.04,1
535,Dandora Area Ii Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,10321.119999999999,2
536,Dandora Area Ii Ward,Nonsuppurative otitis media,11669.52,2
537,Dandora Area Ii Ward,Orchitis and epididymitis,1001.0,1
538,Dandora Area Ii Ward,Other abnormal uterine and vaginal bleeding,18346.72,3
539,Dandora Area Ii Ward,Other acute and subacute respiratory conditions due to chemicals - gases,3199.0,1
540,Dandora Area Ii Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,3757.24,1
541,Dandora Area Ii Ward,Poisoning: Anthelminthics - Poisoning by other systemic anti-infectives and antiparasitics,1056.0,1
542,Dandora Area Ii Ward,Pulpitis - Diseases of pulp and periapical tissues,14652.64,2
543,Dandora Area Ii Ward,Sciatica - Dorsalgia,2996.68,1
544,Dandora Area Ii Ward,Secondary hypertension - unspecified,1337.0,1
545,Dandora Area Ii Ward,Spondylosis,7287.92,1
546,Dandora Area Ii Ward,Streptococcal pharyngitis - Acute pharyngitis,4767.68,1
547,Dandora Area Ii Ward,Superficial injury of wrist and hand - unspecified,7328.29,1
548,Dandora Area Ii Ward,Supervision of high-risk pregnancy,8145.6,3
549,Dandora Area Ii Ward,Supervision of normal pregnancy,13534.04,2
550,Dandora Area Ii Ward,Tinea corporis - Dermatophytosis,2926.4,1
551,Dandora Area Ii Ward,Type 2 diabetes mellitus,15314.08,2
552,Dandora Area Ii Ward,Unspecified diabetes mellitus,30855.92,6
553,Dandora Area Ii Ward,Unspecified injury of ankle and foot - Other and unspecified injuries of ankle and foot,214475.0,1
554,Dandora Area Ii Ward,Urinary tract infection - site not specified,11118.93,3
555,Dandora Area Ii Ward,Varicella [chickenpox],8140.96,1
556,Dandora Area Ii Ward,Viral warts,1757.0,1
557,Dandora Area Iii Ward,Abdominal and pelvic pain,3645.44,1
558,Dandora Area Iii Ward,Abscess - furuncle and carbuncle of nose,2473.92,1
559,Dandora Area Iii Ward,Acne vulgaris - Acne,4408.16,1
560,Dandora Area Iii Ward,Acute bronchitis due to streptococcus - Acute bronchitis,3234.44,1
561,Dandora Area Iii Ward,Acute laryngitis - Acute laryngitis and tracheitis,11340.24,3
562,Dandora Area Iii Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,32786.8,3
563,Dandora Area Iii Ward,Acute nasopharyngitis [common cold],142517.89,26
564,Dandora Area Iii Ward,Acute pharyngitis,103235.31,22
565,Dandora Area Iii Ward,Acute sphenoidal sinusitis - Acute sinusitis,1710.08,1
566,Dandora Area Iii Ward,Acute tonsillitis,128795.94,23
567,Dandora Area Iii Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,3593.91,1
568,Dandora Area Iii Ward,Acute upper respiratory infection - unspecified,42064.32,10
569,Dandora Area Iii Ward,Acute vaginitis - Other inflammation of vagina and vulva,5759.0,2
570,Dandora Area Iii Ward,Alcoholic gastritis - Gastritis and duodenitis,1776.08,1
571,Dandora Area Iii Ward,Allergic contact dermatitis,18187.62,4
572,Dandora Area Iii Ward,Allergic rhinitis - unspecified,36382.08,10
573,Dandora Area Iii Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,10537.77,2
574,Dandora Area Iii Ward,Amoebiasis,8193.599999999999,2
575,Dandora Area Iii Ward,Amoebiasis - unspecified,3932.16,1
576,Dandora Area Iii Ward,Anaemia - unspecified,4938.88,1
577,Dandora Area Iii Ward,Antenatal screening,2495.84,1
578,Dandora Area Iii Ward,Asthma,6734.64,1
579,Dandora Area Iii Ward,Atopic dermatitis,46089.42,9
580,Dandora Area Iii Ward,Calculus of lower urinary tract,7203.799999999999,2
581,Dandora Area Iii Ward,Chronic gastritis - unspecified,17101.02,2
582,Dandora Area Iii Ward,Chronic nasopharyngitis - Chronic rhinitis,19834.960000000003,4
583,Dandora Area Iii Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,22413.04,4
584,Dandora Area Iii Ward,Chronic rhinitis,6877.4400000000005,2
585,Dandora Area Iii Ward,Cough,21223.12,5
586,Dandora Area Iii Ward,Cramp and spasm - Abnormal involuntary movements,4000.0,1
587,Dandora Area Iii Ward,Crushing injuries involving multiple body regions,8839.76,1
588,Dandora Area Iii Ward,Cutaneous abscess - furuncle and carbuncle,12572.0,1
589,Dandora Area Iii Ward,Dental caries,36447.479999999996,14
590,Dandora Area Iii Ward,Dental caries - unspecified,17007.81,3
591,Dandora Area Iii Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,6648.16,1
592,Dandora Area Iii Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - insulin-dependent,2187.2,1
593,Dandora Area Iii Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,6579.29,2
594,Dandora Area Iii Ward,Disorder of breast - unspecified,8158.56,2
595,Dandora Area Iii Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,4992.8,1
596,Dandora Area Iii Ward,Essential (primary) hypertension,44162.88,11
597,Dandora Area Iii Ward,Fever - unspecified,2388.8,1
598,Dandora Area Iii Ward,Functional dyspepsia,32428.4,10
599,Dandora Area Iii Ward,Gastritis - unspecified,60518.96,15
600,Dandora Area Iii Ward,Gastritis and duodenitis,27652.620000000003,6
601,Dandora Area Iii Ward,Gastro-oesophageal reflux disease,5118.72,2
602,Dandora Area Iii Ward,Gastroduodenitis - unspecified,4246.88,1
603,Dandora Area Iii Ward,Gastroenteritis and colitis due to radiation - Other noninfective gastroenteritis and colitis,6249.6,1
604,Dandora Area Iii Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,22042.44,4
605,Dandora Area Iii Ward,Gout,3427.12,1
606,Dandora Area Iii Ward,Gout - unspecified,4825.469999999999,2
607,Dandora Area Iii Ward,Headache,5840.860000000001,2
608,Dandora Area Iii Ward,Hyperlipidaemia - unspecified,3938.88,1
609,Dandora Area Iii Ward,Hypertensive heart disease,50086.68,13
610,Dandora Area Iii Ward,Impacted cerumen - Other disorders of external ear,1224.0,1
611,Dandora Area Iii Ward,Impetigo,7992.0,1
